Protest,Date,Protestors.Number,Police.Number,Location,,
1st,2016/10/29,50000,4800,Seoul ,,
2nd,2016/11/05,300000,17600,Seoul ,,
3rd,2016/11/12,1060000,25000,Seoul ,,
4th,2016/11/19,960000,20000,Seoul ,,
5th,2016/11/26,1900000,25000,Seoul ,,
Strike,2016/11/30,60000,8000,Daegu,,
6th,2016/12/03,2320000,30000,Seoul ,,
7th,2016/12/10,1043400,18200,Seoul ,,
8th,2016/12/17,771750,18240,Seoul ,,
9th,2016/12/24,702000,14700,Seoul ,,
10th,2016/12/31,1104000,18400,Seoul ,,
11th,2016/01/07,643380,15920,Seoul ,,
12th,2017/01/14,146700,14700,Daegu,,
13th,2017/01/21,353400,15500,Busan,,
14th,2017/02/04,425500,14600,Busan,,
15th,2017/02/10,806270,16000,Gwangju,,
16th,2017/02/18,844860,15200,Seoul ,,
17th,2017/02/24,1078130,17000,Seoul ,,
18th,2017/03/01,300000,16000,Gwangju,,
19th,2017/03/04,1050890,15900,Seoul ,,
20th,2017/03/09,720000,38100,Seoul ,,
21st,2017/03/09,102400,12300,Seoul ,,
22nd,2017/03/25,109600,,Seoul ,,
23rd,2017/04/15,50000,,Seoul ,,
total,,16894280,391160,,,
